Account,Line Item,Scenario,Year,Month,Amount,MonthNumber,MonthStartDate,MonthEndDate,Quarter
4001,  Core,Actual,2020,Jan,1550375.61,1,1/1/2020,1/31/2020,Q1
4002,  Pro,Actual,2020,Jan,1182176.25,1,1/1/2020,1/31/2020,Q1
4010,  Services,Actual,2020,Jan,692904,1,1/1/2020,1/31/2020,Q1
5001,  Materials,Actual,2020,Jan,-886051.82,1,1/1/2020,1/31/2020,Q1
5002,  Direct Labor,Actual,2020,Jan,-401701,1,1/1/2020,1/31/2020,Q1
5003,  Freight & Logistics,Actual,2020,Jan,,1,1/1/2020,1/31/2020,Q1
6001,  Salaries & Wages,Actual,2020,Jan,-802479.86,1,1/1/2020,1/31/2020,Q1
6002,  Payroll Taxes,Actual,2020,Jan,-112347.19,1,1/1/2020,1/31/2020,Q1
6003,  Rent,Actual,2020,Jan,-53754.3,1,1/1/2020,1/31/2020,Q1
6004,  Marketing,Actual,2020,Jan,-185433.33,1,1/1/2020,1/31/2020,Q1
6005,  Software & Subscriptions,Actual,2020,Jan,-26537.78,1,1/1/2020,1/31/2020,Q1
6006,  Travel,Actual,2020,Jan,-34527.13,1,1/1/2020,1/31/2020,Q1
7001,  Interest Income,Actual,2020,Jan,2825.99,1,1/1/2020,1/31/2020,Q1
7002,  Interest Expense,Actual,2020,Jan,-3544.53,1,1/1/2020,1/31/2020,Q1
4001,  Core,Actual,2020,Feb,1611460.89,2,2/1/2020,2/29/2020,Q1
4002,  Pro,Actual,2020,Feb,,2,2/1/2020,2/29/2020,Q1
4010,  Services,Actual,2020,Feb,694300.4,2,2/1/2020,2/29/2020,Q1
5001,  Materials,Actual,2020,Feb,-919338.65,2,2/1/2020,2/29/2020,Q1
5002,  Direct Labor,Actual,2020,Feb,-421742.34,2,2/1/2020,2/29/2020,Q1
5003,  Freight & Logistics,Actual,2020,Feb,-152543.78,2,2/1/2020,2/29/2020,Q1
6001,  Salaries & Wages,Actual,2020,Feb,-829506.39,2,2/1/2020,2/29/2020,Q1
6002,  Payroll Taxes,Actual,2020,Feb,-116130.88,2,2/1/2020,2/29/2020,Q1
6003,  Rent,Actual,2020,Feb,-54083,2,2/1/2020,2/29/2020,Q1
6004,  Marketing,Actual,2020,Feb,-199510.18,2,2/1/2020,2/29/2020,Q1
6005,  Software & Subscriptions,Actual,2020,Feb,-26251.46,2,2/1/2020,2/29/2020,Q1
6006,  Travel,Actual,2020,Feb,-35923.47,2,2/1/2020,2/29/2020,Q1
7001,  Interest Income,Actual,2020,Feb,2514.31,2,2/1/2020,2/29/2020,Q1
7002,  Interest Expense,Actual,2020,Feb,-4027.83,2,2/1/2020,2/29/2020,Q1
4001,  Core,Actual,2020,Mar,1767868.13,3,3/1/2020,3/31/2020,Q1
4002,  Pro,Actual,2020,Mar,1319564.39,3,3/1/2020,3/31/2020,Q1
4010,  Services,Actual,2020,Mar,818181.58,3,3/1/2020,3/31/2020,Q1
5001,  Materials,Actual,2020,Mar,-999020.26,3,3/1/2020,3/31/2020,Q1
5002,  Direct Labor,Actual,2020,Mar,-459087,3,3/1/2020,3/31/2020,Q1
5003,  Freight & Logistics,Actual,2020,Mar,-161215.31,3,3/1/2020,3/31/2020,Q1
6001,  Salaries & Wages,Actual,2020,Mar,-826317.57,3,3/1/2020,3/31/2020,Q1
6002,  Payroll Taxes,Actual,2020,Mar,-115684.46,3,3/1/2020,3/31/2020,Q1
6003,  Rent,Actual,2020,Mar,-53749.6,3,3/1/2020,3/31/2020,Q1
6004,  Marketing,Actual,2020,Mar,-205747.47,3,3/1/2020,3/31/2020,Q1
6005,  Software & Subscriptions,Actual,2020,Mar,-26300.84,3,3/1/2020,3/31/2020,Q1
6006,  Travel,Actual,2020,Mar,-37450.96,3,3/1/2020,3/31/2020,Q1
7001,  Interest Income,Actual,2020,Mar,3207,3,3/1/2020,3/31/2020,Q1
7002,  Interest Expense,Actual,2020,Mar,-3604,3,3/1/2020,3/31/2020,Q1
4001,  Core,Actual,2020,Apr,1060327.33,4,4/1/2020,4/30/2020,Q2
4002,  Pro,Actual,2020,Apr,801554.5,4,4/1/2020,4/30/2020,Q2
4010,  Services,Actual,2020,Apr,467586,4,4/1/2020,4/30/2020,Q2
5001,  Materials,Actual,2020,Apr,-619629,4,4/1/2020,4/30/2020,Q2
5002,  Direct Labor,Actual,2020,Apr,-277224,4,4/1/2020,4/30/2020,Q2
5003,  Freight & Logistics,Actual,2020,Apr,-99722.72,4,4/1/2020,4/30/2020,Q2
6001,  Salaries & Wages,Actual,2020,Apr,-824325.54,4,4/1/2020,4/30/2020,Q2
6002,  Payroll Taxes,Actual,2020,Apr,-115405.58,4,4/1/2020,4/30/2020,Q2
6003,  Rent,Actual,2020,Apr,-54173.92,4,4/1/2020,4/30/2020,Q2
6004,  Marketing,Actual,2020,Apr,-130307.92,4,4/1/2020,4/30/2020,Q2
6005,  Software & Subscriptions,Actual,2020,Apr,-26072.12,4,4/1/2020,4/30/2020,Q2
6006,  Travel,Actual,2020,Apr,-12121.26,4,4/1/2020,4/30/2020,Q2
7001,  Interest Income,Actual,2020,Apr,3400.55,4,4/1/2020,4/30/2020,Q2
7002,  Interest Expense,Actual,2020,Apr,-3471.5,4,4/1/2020,4/30/2020,Q2
4001,  Core,Actual,2020,May,1065571,5,5/1/2020,5/31/2020,Q2
4002,  Pro,Actual,2020,May,794270.52,5,5/1/2020,5/31/2020,Q2
4010,  Services,Actual,2020,May,468207.88,5,5/1/2020,5/31/2020,Q2
5001,  Materials,Actual,2020,May,-609641.14,5,5/1/2020,5/31/2020,Q2
5002,  Direct Labor,Actual,2020,May,-275972.15,5,5/1/2020,5/31/2020,Q2
5003,  Freight & Logistics,Actual,2020,May,-98600.95,5,5/1/2020,5/31/2020,Q2
6001,  Salaries & Wages,Actual,2020,May,-809341.99,5,5/1/2020,5/31/2020,Q2
6002,  Payroll Taxes,Actual,2020,May,-113307.89,5,5/1/2020,5/31/2020,Q2
6003,  Rent,Actual,2020,May,-53854.02,5,5/1/2020,5/31/2020,Q2
6004,  Marketing,Actual,2020,May,-128522.69,5,5/1/2020,5/31/2020,Q2
6005,  Software & Subscriptions,Actual,2020,May,-26758.22,5,5/1/2020,5/31/2020,Q2
6006,  Travel,Actual,2020,May,-14990.19,5,5/1/2020,5/31/2020,Q2
7001,  Interest Income,Actual,2020,May,3507.84,5,5/1/2020,5/31/2020,Q2
7002,  Interest Expense,Actual,2020,May,-3562.43,5,5/1/2020,5/31/2020,Q2
4001,  Core,Actual,2020,Jun,1056733.02,6,6/1/2020,6/30/2020,Q2
4002,  Pro,Actual,2020,Jun,879808.61,6,6/1/2020,6/30/2020,Q2
4010,  Services,Actual,2020,Jun,474343,6,6/1/2020,6/30/2020,Q2
5001,  Materials,Actual,2020,Jun,-634903.65,6,6/1/2020,6/30/2020,Q2
5002,  Direct Labor,Actual,2020,Jun,-280222.25,6,6/1/2020,6/30/2020,Q2
5003,  Freight & Logistics,Actual,2020,Jun,-99320.63,6,6/1/2020,6/30/2020,Q2
6001,  Salaries & Wages,Actual,2020,Jun,-836626,6,6/1/2020,6/30/2020,Q2
6002,  Payroll Taxes,Actual,2020,Jun,-117128,6,6/1/2020,6/30/2020,Q2
6003,  Rent,Actual,2020,Jun,-53518.39,6,6/1/2020,6/30/2020,Q2
6004,  Marketing,Actual,2020,Jun,-122579.5,6,6/1/2020,6/30/2020,Q2
6005,  Software & Subscriptions,Actual,2020,Jun,-26843.19,6,6/1/2020,6/30/2020,Q2
6006,  Travel,Actual,2020,Jun,-13083.37,6,6/1/2020,6/30/2020,Q2
