Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
4001,  Core,1796170.25,1920126.0,1961106.35,1884919.21,1972523.28,2098190.97,2061524.0,1944309.39,1845169.32,2167857.34,2104303.0,2200381.58,23956580.88,True,Actual,2021
4002,  Pro,1375747.3,1434686.0,1554003.0,1464329.09,1468908.18,1584932.38,1501619.63,1542677.59,1421409.17,1509669.47,1633977.4,1578891.6,18070850.72,True,Actual,2021
4010,  Services,,824712.78,889906.04,879940.31,908251.11,911130.1699999999,951279.88,915968.42,913727.52,916210.62,950544.51,994660.76,10868469.08,True,Actual,2021
,Total Revenue,3984054.51,4179524.96,4405015.0,4229188.609999999,4349683.0,4594253.52,4514423.82,4402955.4,4180306.01,4593737.0,4688824.68,,52895900.68,False,Actual,2021
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2021
5001,  Materials,,-1095610.0,-1145758.0,,-1142771.44,,-1177959.68,-1136642.28,-1084592.0,-1174612.03,-1225345.72,-1244446.55,-13780350.0,True,Actual,2021
5002,  Direct Labor,-472582.29,-493241.0,-521350.71,-493200.0,-507136.91,-541597.64,-531947.3099999999,-523820.1,-486179.08,-539788.76,-552595.27,-563892.56,-6227331.0,True,Actual,2021
5003,  Freight & Logistics,-173329.11,-176994.65,-186981.17,-179731.0,-185267.11,-200404.85,-190659.0,-182433.81,-179481.0,-198554.0,-191779.0,-201858.13,-2247473.38,True,Actual,2021
,Total COGS,-1685526.46,-1765845.83,-1854090.0,-1758688.0,-1835175.46,-1969241.37,-1900566.0,-1842896.19,-1750252.27,-1912954.94,-1969720.31,-2010197.24,-22255154.13,False,Actual,2021
,Gross Profit,2298528.05,2413679.13,2550924.9,2470500.439999999,2514507.11,2625012.149999999,2613858.260000001,,2430053.74,2680782.49,,2763736.7,30640746.55,False,Actual,2021
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2021
6001,  Salaries & Wages,-854293.0,-855175.5700000001,-862021.33,-853561.62,-851373.32,-860771.23,-859309.11,-862849.1,-882555.55,-865673.0,-869181.72,-854624.65,-10331389.15,True,Actual,2021
6002,  Payroll Taxes,-119601.0,-119724.57,-120682.98,-119498.64,-119192.27,-120507.97,-120303.0,-120799.0,-123557.78,-121194.23,-121685.44,-119647.46,-1446394.5,True,Actual,2021
6003,  Rent,-55148.41,-54735.19,-55503.33,-55123.52,-55130.61,-54524.25,-55389.77,-55422.49,-55133.49,-54854.27,-54494.19,-55193.42,-660652.9400000001,True,Actual,2021
6004,  Marketing,-253129.87,-288768.0,-274241.27,-263039.69,-277381.42,-322320.24,-312054.0,-277795.0,-267156.52,-298037.23,-277536.39,-320859.73,-3432319.95,True,Actual,2021
6005,  Software & Subscriptions,-26762.48,-26854.0,-27358.55,-26551.75,-27316.11,-27050.0,-27212.49,-27589.81,,-27125.0,-26743.37,-26687.0,-323442.81,True,Actual,2021
6006,  Travel,-59112.0,-63125.71,-69611.28,-67793.76,-62865.46,-63289.97,-57302.75,-69962.38,-59217.43,-74705.9,-68292.08,-60844.36,-776123.0,True,Actual,2021
,Total Operating Expenses,-1368047.0,-1408383.81,-1409418.74,-1385568.98,-1393259.19,-1448463.41,,-1414418.0,-1413812.0,-1441589.73,-1417933.19,-1437857.05,-16970323.0,False,Actual,2021
,EBITDA,930480.9899999998,1005295.32,1141506.16,1084931.459999999,1121247.92,1176548.74,1182286.490000001,1145642.0,1016241.0,1239193.0,1301171.18,1325879.65,13670423.72,False,Actual,2021
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2021
7001,  Interest Income,3843.68,3275.05,2515.0,2828.0,2336.97,2931.67,2783.96,2767.26,2277.35,2659.65,2436.0,2257.09,32911.42999999999,True,Actual,2021
7002,  Interest Expense,-4043.76,-3515.99,-3915.65,-4132.09,-3129.0,-3664.0,-4400.32,-3853.67,-4186.32,-4606.0,-3963.059999999999,-4116.05,-47526.06,True,Actual,2021
,Total Other,-200.0799999999999,-240.9400000000001,-1400.8,-1303.86,-791.7799999999997,-732.6399999999999,-1616.36,-1086.0,-1908.97,-1946.44,-1527.389999999999,-1858.96,-14614.63,False,Actual,2021
,Net Income,930280.9099999998,1005054.38,1140105.0,1083627.599999999,1120456.14,,1180670.130000001,1144555.24,1014332.43,1237246.32,1299643.79,1324020.69,13655809.09,False,Actual,2021
