Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
4001,  Core,2145256.15,2197071.83,2518049.0,2433395.24,2391092.2,2581951.84,2433787.01,2255737.2,2188430.0,2492832.28,2314655.17,2567833.0,,True,Budget,2023
4002,  Pro,1750528.42,1687571.94,1846859.0,1810603.05,1856017.15,1834110.31,1853393.0,1809765.5,1821064.95,1830596.43,2058184.75,1952367.54,22111062.0,True,Budget,2023
4010,  Services,952568.26,1003139.42,1051015.08,1072903.85,1135799.03,1138221.92,1122854.63,1132748.59,1047246.0,1104879.73,1091324.44,1129655.73,12982356.74,True,Budget,2023
,Total Revenue,4848352.83,,5415922.99,5316902.0,5382908.38,,5410035.02,5198251.29,5056741.0,5428308.440000001,5464164.359999999,5649856.620000001,63613510.63,False,Budget,2023
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Budget,2023
5001,  Materials,-1276560.78,-1269842.25,,-1390015.2,-1405138.91,-1447206.39,-1410891.05,-1348583.11,-1320526.0,-1416812.67,-1433839.05,-1477762.32,-16610551.0,True,Budget,2023
5002,  Direct Labor,-577753.5,-578851.56,-643097.16,-627389.59,-628437.08,-650496.16,-639839.54,-607690.6,-596582.41,,-650405.0,-667117.1,-7508913.0,True,Budget,2023
5003,  Freight & Logistics,-206003.96,-207207.18,-230187.26,-224227.76,-228525.26,-234812.16,-229108.0,,,-228589.87,-232761.0,-238152.0,-2690633.05,True,Budget,2023
,Total COGS,-2060318.24,-2055900.99,-2286657.0,-2241632.55,-2262101.0,-2332514.71,-2279838.91,-2173941.94,-2130498.14,-2286655.47,-2317005.0,-2383031.54,-26810096.2,False,Budget,2023
,Gross Profit,2788034.59,2831882.199999999,3129266.0,3075269.590000001,3120807.13,3221769.36,3130196.11,3024309.35,2926243.160000001,3141652.970000002,3147158.899999999,3266825.080000001,36803414.0,False,Budget,2023
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Budget,2023
6001,  Salaries & Wages,-987907.0,-1006253.14,-995103.24,-993724.4600000001,-993468.78,-981709.0,-1004634.38,-1009599.8,-1004691.6,-1003794.0,-981789.27,-977346.49,-11940021.31,True,Budget,2023
6002,  Payroll Taxes,-138307.01,-140875.46,-139314.44,-139121.41,,-137439.0,-140648.8,-141343.98,-140657.0,-140531.09,-137450.51,-136828.5,,True,Budget,2023
6003,  Rent,-60174.0,-60200.36,-60772.43,-60526.59,-60418.41,-60638.32,-60176.51,-60759.58,-60825.0,-60730.12,-60402.0,-60629.29,-726253.2000000001,True,Budget,2023
6004,  Marketing,-345961.86,-353572.58,-392627.11,,-391790.46,-407522.71,-374066.23,-388590.78,-372496.62,-401431.25,-393182.09,-397260.0,-4590686.54,True,Budget,2023
6005,  Software & Subscriptions,-29915.69,-29667.0,-30034.0,-29631.61,-29821.68,-29395.44,-29881.69,-29803.51,,-29892.39,-29642.0,-29393.39,-356598.0,True,Budget,2023
6006,  Travel,-98393.93,,-105831.6,-105086.51,-106314.61,-107419.0,-105361.0,-100436.1,-104104.98,,-113111.0,-112547.61,-1268484.8,True,Budget,2023
,Total Operating Expenses,-1660660.14,-1688024.0,-1723683.0,-1700275.17,,-1724124.0,-1714768.2,-1730533.75,-1712294.59,-1748802.27,-1715577.23,-1714005.54,-20553647.14,False,Budget,2023
,EBITDA,1127374.45,1143858.149999999,1405583.36,1374994.0,1399907.58,1497645.34,1415427.91,1293775.6,1213948.570000001,1392850.700000002,1431581.67,,16249767.29,False,Budget,2023
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Budget,2023
7001,  Interest Income,3168.53,3275.05,3023.87,3192.49,3398.81,3357.27,3083.0,2908.51,2760.68,2925.53,3219.79,3045.12,37358.79,True,Budget,2023
7002,  Interest Expense,-4102.49,-4295.15,-4122.0,-4132.88,-4204.0,-4266.66,-4082.89,-4215.07,-4036.92,-3988.12,-3644.0,,-49220.96,True,Budget,2023
,Total Other,-933.96,-1020.099999999999,-1099.0,-940.3900000000003,-805.0999999999999,-909.3899999999994,-999.75,-1306.559999999999,-1276.24,-1063.0,-424.0,-1085.55,-11862.0,False,Budget,2023
,Net Income,1126440.49,1142838.049999999,1404484.82,1374054.03,1399102.48,,1414428.16,1292469.04,,1391788.110000001,1431157.67,1551733.990000001,16237905.0,False,Budget,2023
