Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,3425455.83,3580400.0,3905614.100000001,2329467.89,2328049.24,2410884.76,3941457.0,3853102.67,3693815.59,3842651.15,4044607.05,4067322.82,41422828.64,False,Actual,2020
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2020
,Total COGS,-1435576.22,-1493624.77,,-996575.6799999999,-984214.24,-1014447.0,-1667784.55,-1610742.31,-1555096.2,-1615978.26,,-1739096.0,-17422779.9,False,Actual,2020
,Gross Profit,1989880.0,,2286291.98,1332892.21,1343835.0,1396438.23,2273672.89,2242360.0,2138719.0,2226673.0,2354284.0,2328227.19,24000048.74,False,Actual,2020
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2020
,Total Operating Expenses,-1215079.59,-1261405.27,-1265250.9,-1162406.34,-1146775.0,-1169777.65,,-1261487.29,-1275413.38,-1264191.93,-1289071.59,-1289947.35,-14873509.36,False,Actual,2020
,EBITDA,774800.0199999996,825370.06,1021041.08,170485.8700000001,197060.0000000002,226660.5799999998,1000969.82,980873.0700000001,863306.0,962480.96,1065212.0,1038279.84,9126539.379999999,False,Actual,2020
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2020
,Total Other,-718.54,-1513.52,-396.2000000000003,-70.94999999999982,-54.58999999999969,-292.9299999999998,-974.0,-397.2399999999998,-1504.91,-1836.08,-734.7600000000002,,-9461.029999999999,False,Actual,2020
,Net Income,774081.0,823856.54,1020645.0,170414.9200000001,197005.4100000002,226367.6499999998,999996.0,980475.8300000001,861801.0999999997,960644.88,1064477.31,1037312.1,9117078.0,False,Actual,2020
